"","CityFIPS","City","Arthritis among adults aged >=18 Years","Binge drinking among adults aged >=18 Years","Cancer (excluding skin cancer) among adults aged >=18 Years","Cholesterol screening among adults aged >=18 Years","Chronic kidney disease among adults aged >=18 Years","Chronic obstructive pulmonary disease among adults aged >=18 Years","Coronary heart disease among adults aged >=18 Years","Current asthma among adults aged >=18 Years","Current lack of health insurance among adults aged 18–64 Years","Current smoking among adults aged >=18 Years","Diagnosed diabetes among adults aged >=18 Years","High blood pressure among adults aged >=18 Years","High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years","Mental health not good for >=14 days among adults aged >=18 Years","No leisure-time physical activity among adults aged >=18 Years","Obesity among adults aged >=18 Years","Physical health not good for >=14 days among adults aged >=18 Years","Stroke among adults aged >=18 Years","Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure","Visits to doctor for routine checkup within the past Year among adults aged >=18 Years","Rank","Population","Median","Parkland.as","Percent.of","Spending","Basketball.Hoops","Dog.Parks","Playgrounds","Recreation","Amenities","Raw.Total","ParkScore","ParkScore.Rating"
"1",15003,"Honolulu",16.8,18.9,5.2,70.7,2.5,4,4,8.9,10.5,14.4,8.7,30,30.5,9.2,23,22.1,9.4,2.5,57.6,68,32,351540,4,20,32,5,20,4,3,20,12,73,61,NA
"2",203000,"Anchorage",20.5,19.3,6.3,70.8,2.4,4.9,5.1,9.1,15.2,17.1,8,29.2,32.1,10.6,22.3,30.1,10.2,2.6,50.6,56.9,31,305446,8,20,25,10,9,20,10,3,11,74,61.5,NA
"3",412000,"Chandler",19.2,15.4,6.5,77.7,2.5,5,4.6,8.5,12.3,13.1,8,26.1,31,10.2,20.5,24.4,9.7,2.3,54.9,67.6,59,251786,16,3,18,7,12,16,8,6,11,55,46,NA
"4",427820,"Glendale",21.7,13.9,6.4,73.1,3.1,6.9,5.8,9.3,20.2,17.4,10.4,29.6,33,13,26.7,29.3,13.5,3.1,56.3,66.2,63,241346,9,5,25,2,17,12,16,8,13,54,45,NA
"5",446000,"Mesa",21.4,14.9,6.6,74.6,2.8,6.5,5.5,9.2,16.8,16.7,9.1,28.4,32.3,12.3,24.4,28,12.3,2.9,55.4,66.3,95,472734,5,2,20,7,9,3,3,2,4,38,31.5,NA
"6",455000,"Phoenix",21.5,13.7,6.3,72.6,3.1,6.8,5.9,9.3,21.9,17.2,10.7,29.7,33,13,26.8,29.7,13.7,3.2,56.3,66.2,56,1541162,20,15,10,8,2,4,5,5,4,57,47.5,NA
"7",465000,"Scottsdale",18.8,16.4,6.9,79.3,2.3,4.6,4.3,8.4,9.2,11.9,6.7,24.6,30.3,9.4,17.8,23,8.6,2.1,54.2,67.5,42,229909,20,20,6,12,4,12,5,9,8,66,55,NA
"8",477000,"Tucson",21.8,14.6,5.7,70.9,3.2,6.8,6,10.4,20.7,18,10.8,27.9,33,13.4,25.6,30,13.8,3.2,55.4,65.4,85,535294,10,2,17,7,3,15,5,10,8,44,36.5,NA
"9",602000,"Anaheim",17.3,15.7,5.4,72.3,2.7,4.9,5.4,8,18.6,13.8,10.4,27.2,31,12.4,22.5,22.7,13.1,2.7,52.6,64.3,63,354608,17,8,19,7,3,4,4,2,3,54,45,NA
"10",603526,"Bakersfield",21.7,16,5.8,73.1,2.9,6.1,5.8,8.9,17.1,15.4,10.8,27.6,29.4,13.4,23.4,30.1,14.1,3.2,53,62.9,71,351014,18,5,9,9,6,20,12,5,11,52,43.5,NA
